Job ID,Civil Service Title,Agency,Posting Type,Job Category,Salary Range From,Salary Range To
544477,ADM CONSTRUCTION PRJ MGR-NM,DEPARTMENT OF TRANSPORTATION,External,"Engineering, Architecture, & Planning",53702.0,146121.0
459790,ADM MANAGER-NON-MGRL FRM M1/M2,HRA/DEPT OF SOCIAL SERVICES,Internal,"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Social Services",76270.0,98830.0
272382,ASSOCIATE PUBLIC HEALTH SANITA,DEPT OF ENVIRONMENT PROTECTION,Internal,"Public Safety, Inspections, & Enforcement",60673.0,91795.0
539975,ADMINISTRATIVE DIRECTOR OF RES,ADMIN FOR CHILDREN'S SVCS,External,Social Services,80000.0,84000.0
547692,COMMUNITY ASSOCIATE,BRONX DISTRICT ATTORNEY,External,"Administration & Human Resources Legal Affairs Public Safety, Inspections, & Enforcement",60000.0,60000.0
539169,CLERICAL ASSOCIATE,DEPT OF HEALTH/MENTAL HYGIENE,External,Health Building Operations & Maintenance,17.9803,20.68
533017,ADMINISTRATIVE STAFF ANALYST (,POLICE DEPARTMENT,External,Communications & Intergovernmental Affairs,94715.0,136260.0
530985,ECONOMIST,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Finance, Accounting, & Procurement Health",56013.0,65000.0
544430,STAFF ANALYST,NYC HOUSING AUTHORITY,External,"Finance, Accounting, & Procurement",62470.0,80008.0
508504,CHILD AND FAMILY SPECIALIST,ADMIN FOR CHILDREN'S SVCS,Internal,Social Services,73027.0,87622.0
534765,ECONOMIST,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Health,45428.0,52242.0
375114,CUSTOMER INFORMATION REP,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Communications & Intergovernmental Affairs,39170.0,39170.0
544973,SENIOR IT ARCHITECT,TAXI & LIMOUSINE COMMISSION,External,"Technology, Data & Innovation",100000.0,180000.0
546539,CITY RESEARCH SCIENTIST,DEPT OF ENVIRONMENT PROTECTION,Internal,"Constituent Services & Community Programs Engineering, Architecture, & Planning Technology, Data & Innovation Policy, Research & Analysis",64140.0,77609.0
469360,EXECUTIVE AGENCY COUNSEL,NYC HOUSING AUTHORITY,External,Legal Affairs,58700.0,122000.0
436199,CONSTRUCTION PROJECT MANAGER,NYC HOUSING AUTHORITY,External,"Engineering, Architecture, & Planning",72063.0,122168.0
544752,PROJECT MANAGER INTERN#,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",51535.0,59265.0
538929,POLICE ADMINISTRATIVE AIDE,POLICE DEPARTMENT,Internal,Administration & Human Resources,36390.0,55228.0
543782,EXTERMINATOR,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Health,34027.0,34027.0
552557,CITY RESEARCH SCIENTIST,DEPARTMENT OF CORRECTION,External,"Policy, Research & Analysis",75504.0,86830.0
552120,ASSOCIATE HOUSING DEVELOPMENT,HOUSING PRESERVATION & DVLPMNT,External,Constituent Services & Community Programs,74650.0,85847.0
544443,COMMUNITY COORDINATOR,DEPARTMENT FOR THE AGING,Internal,Communications & Intergovernmental Affairs Social Services,54100.0,62215.0
533925,COMMUNITY COORDINATOR,DEPT. OF HOMELESS SERVICES,Internal,Constituent Services & Community Programs Social Services,54100.0,83981.0
550573,COMMUNITY ASSOCIATE,HOUSING PRESERVATION & DVLPMNT,Internal,Constituent Services & Community Programs,38333.0,44083.0
551089,RESEARCH AND LIAISON COORDINAT,OFFICE OF THE COMPTROLLER,Internal,"Finance, Accounting, & Procurement",100000.0,115000.0
550536,COLLEGE AIDE (ALL CITY DEPTS),DEPT OF DESIGN & CONSTRUCTION,External,Administration & Human Resources,15.5,16.02
520270,ASSISTANT MECHANICAL ENGINEER,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",57078.0,85646.0
551046,COMMUNITY COORDINATOR,HOUSING PRESERVATION & DVLPMNT,External,Constituent Services & Community Programs,54100.0,83981.0
551591,AGENCY ATTORNEY,HOUSING PRESERVATION & DVLPMNT,Internal,Legal Affairs,82137.0,82137.0
552383,INVESTMENT MANAGER (COMPTROLLE,OFFICE OF THE COMPTROLLER,Internal,"Finance, Accounting, & Procurement",160000.0,175000.0
543847,ADMINISTRATIVE STAFF ANALYST (,HRA/DEPT OF SOCIAL SERVICES,Internal,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis Social Services",94715.0,107310.0
541529,ELECTRICAL ENGINEER,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",80557.0,111917.0
551446,ADM MANAGER-NON-MGRL FRM M1/M2,DEPARTMENT OF BUILDINGS,External,Administration & Human Resources Communications & Intergovernmental Affairs,60718.0,90773.0
546838,AGENCY ATTORNEY,NYC EMPLOYEES RETIREMENT SYS,Internal,Legal Affairs,83158.0,125681.0
552687,SENIOR POLICE ADMINISTRATIVE A,POLICE DEPARTMENT,Internal,Administration & Human Resources,43929.0,57093.0
541804,STAFF ANALYST TRAINEE,DEPT OF ENVIRONMENT PROTECTION,Internal,"Finance, Accounting, & Procurement",23.0706,26.5315
550354,ADMINISTRATIVE PARKS & RECREAT,DEPT OF PARKS & RECREATION,Internal,Building Operations & Maintenance,95000.0,100000.0
550354,ADMINISTRATIVE PARKS & RECREAT,DEPT OF PARKS & RECREATION,Internal,Building Operations & Maintenance,95000.0,100000.0
542891,FRAUD INVESTIGATOR,DEPT. OF HOMELESS SERVICES,Internal,"Public Safety, Inspections, & Enforcement Social Services",51079.0,80478.0
551434,ADMINISTRATIVE REAL PROPERTY M,NYC POLICE PENSION FUND,External,Building Operations & Maintenance,58700.0,75000.0
545428,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,External,"Finance, Accounting, & Procurement Policy, Research & Analysis",51550.0,73806.0
516981,SCIENTIST (WATER ECOLOGY) TRAI,DEPT OF HEALTH/MENTAL HYGIENE,External,Health,39213.0,45095.0
531632,EMERGENCY PREPAREDNESS MANAGER,OFFICE OF EMERGENCY MANAGEMENT,External,"Technology, Data & Innovation",95000.0,110000.0
541357,EMERGENCY PREPAREDNESS SPECIAL,OFFICE OF EMERGENCY MANAGEMENT,Internal,"Engineering, Architecture, & Planning Policy, Research & Analysis",65000.0,79000.0
532897,CITY PLANNER,DEPARTMENT OF CITY PLANNING,Internal,"Engineering, Architecture, & Planning",73294.0,80000.0
531274,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,External,"Finance, Accounting, & Procurement Policy, Research & Analysis",103307.0,103307.0
347238,INVESTIGATOR TRAINEE (PYRL NOT,POLICE DEPARTMENT,Internal,"Administration & Human Resources Public Safety, Inspections, & Enforcement",30028.0,42505.0
540188,ASSISTANT DISTRICT ATTORNEY (S,BRONX DISTRICT ATTORNEY,External,"Legal Affairs Public Safety, Inspections, & Enforcement",80000.0,167610.0
542619,DIRECTOR OF FIELD OPERATIONS (,ADMIN FOR CHILDREN'S SVCS,Internal,"Policy, Research & Analysis Social Services",64922.0,116859.0
537855,COMPUTER SYSTEMS MANAGER,OFF OF PAYROLL ADMINISTRATION,Internal,"Technology, Data & Innovation",58700.0,105000.0
551575,ASSOCIATE HOUSING DEVELOPMENT,HOUSING PRESERVATION & DVLPMNT,Internal,Constituent Services & Community Programs,74650.0,85847.0
549058,CITY PARK WORKER,DEPT OF PARKS & RECREATION,Internal,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",51000.0,51000.0
549058,CITY PARK WORKER,DEPT OF PARKS & RECREATION,Internal,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",51000.0,51000.0
552636,GRAPHIC ARTIST,CONSUMER AND WORKER PROTECTION,External,"Technology, Data & Innovation",58839.0,75000.0
524186,AGENCY ATTORNEY,DEPARTMENT OF FINANCE,External,"Finance, Accounting, & Procurement Legal Affairs",91563.0,100719.0
522919,CLERICAL ASSOCIATE,LAW DEPARTMENT,Internal,Communications & Intergovernmental Affairs,36390.0,41848.0
522919,CLERICAL ASSOCIATE,LAW DEPARTMENT,Internal,Communications & Intergovernmental Affairs,36390.0,41848.0
539506,DIRECTOR OF CONSTRUCTION,NYC HOUSING AUTHORITY,Internal,"Engineering, Architecture, & Planning",145000.0,160000.0
539289,POLICE ADMINISTRATIVE AIDE,POLICE DEPARTMENT,Internal,Administration & Human Resources,36390.0,55228.0
535558,EXECUTIVE AGENCY COUNSEL,DEPT OF ENVIRONMENT PROTECTION,External,"Constituent Services & Community Programs Legal Affairs Policy, Research & Analysis",130000.0,160000.0
549913,REAL PROPERTY MANAGER,HOUSING PRESERVATION & DVLPMNT,External,Building Operations & Maintenance,52868.0,60798.0
536677,CLERICAL ASSOCIATE,HRA/DEPT OF SOCIAL SERVICES,Internal,Administration & Human Resources Social Services,36390.0,58953.0
